x,y
0.2,0,0
0.498311,9.26199e-06,3.66383e-06
0.796616,1.2063e-05,9.80766e-07
1.09492,1.40802e-05,-1.35814e-07
1.39323,1.44177e-05,-3.54304e-07
1.69201,1.43136e-05,1.14116e-06
1.98983,1.3319e-05,-1.45882e-06
2.28764,1.22464e-05,-2.07548e-06
2.58545,1.55606e-05,3.00765e-07
2.88326,1.1733e-05,6.95032e-06
3.18107,1.55353e-05,9.25793e-06
3.47968,1.94867e-05,1.09333e-05
3.77738,2.60802e-05,8.81608e-06
4.07508,2.91389e-05,9.67247e-06
4.37279,3.89946e-05,9.88111e-06
4.67049,4.40035e-05,8.43487e-06
4.9682,5.24586e-05,9.48091e-06
5.25994,0.0783186,1.29679e-05
5.48807,0.207904,7.46501e-06
5.6859,0.380245,4.81404e-06
5.84553,0.588461,2.95074e-06
5.96059,0.824251,9.99023e-06
6.0265,1.0782,1.72964e-05
6.04062,1.34019,2.41302e-05
6.05863,1.63901,3.17468e-05
6.09318,1.93514,3.34893e-05
6.12773,2.23125,4.38924e-05
6.16229,2.52736,5.17882e-05
6.19683,2.82347,5.71606e-05
6.23139,3.11959,6.30335e-05
6.26594,3.4157,6.72041e-05
6.30049,3.71152,7.346e-05
6.33515,4.00826,8.22296e-05
6.36981,4.305,8.60941e-05
6.40448,4.60173,9.05332e-05
6.43914,4.89847,9.06147e-05
6.4738,5.19521,9.78128e-05
6.50846,5.49195,0.000101841
6.54312,5.78869,0.000103544
6.57778,6.08543,0.000106909
6.61244,6.38213,0.000112062
6.64683,6.67792,0.000115948
6.68132,6.97383,0.000121296
6.71596,7.27098,0.000123042
6.75061,7.56814,0.000131605
6.78524,7.86529,0.000142601
6.81988,8.16245,0.000144448
6.85451,8.45961,0.000150108
6.88916,8.75676,0.000153024
6.92379,9.05392,0.000146456
6.95843,9.35108,0.000150112
7.01484,9.64342,0.000152279
7.08224,9.6615,0.000149682
7.15189,9.66582,0.0001453
7.22102,9.65622,0.000161166
7.28686,9.63308,0.000158251
7.34678,9.59732,0.000158629
7.64195,9.6547,0.000134557
7.9281,9.73848,0.000124987
8.21425,9.82225,0.000128078
8.5004,9.906,0.000134842
8.78655,9.98975,0.000143913
9.07254,10.0734,0.000140303
9.35834,10.1568,0.000138578
9.64412,10.2402,0.000152522
9.9299,10.3237,0.000163344
10.2157,10.4071,0.000161771
10.5015,10.4905,0.000160779
10.7873,10.5739,0.000158665
11.073,10.6574,0.000158808
11.3589,10.7408,0.000182194
11.6608,10.7424,0.00018387
11.9,10.6792,0.00023192
12.1219,10.5697,0.000304838
12.3176,10.4183,0.000308759
12.4793,10.231,0.000276195
12.5385,10.0896,0.000264281
12.4879,10.0584,0.000275417
12.4321,10.0378,0.000277194
12.3734,10.0286,0.000294506
12.314,10.0314,0.00031612
12.2563,10.0459,0.000331594
12.2027,10.0715,0.000347942
12.1552,10.1072,0.000372085
12.1158,10.1517,0.000389852
11.8487,10.0164,0.000319357
11.5945,9.86187,0.000328672
11.3401,9.70729,0.000379833
11.0857,9.55273,0.000423664
10.8316,9.39843,0.000474303
10.5773,9.24389,0.000498199
10.323,9.08933,0.000541428
10.0686,8.93476,0.000571064
9.81432,8.78017,0.000622608
9.56003,8.62555,0.000672827
9.30613,8.47116,0.000730583
9.05151,8.31633,0.000782742
8.79689,8.16148,0.0008434
8.54227,8.00665,0.000911479
8.28765,7.85181,0.000971238
8.03303,7.69697,0.00103103
7.7784,7.54214,0.00109199
7.52378,7.38731,0.00114622
7.26915,7.23247,0.00120642
7.01453,7.07764,0.00127657
6.75991,6.92283,0.0013541
6.50529,6.76801,0.00140527
6.25066,6.61319,0.00145201
5.99603,6.45835,0.00149016
5.74103,6.30474,0.0015426
5.48536,6.1525,0.00158783
5.22381,6.01087,0.00164585
4.98029,5.97218,0.00167986
4.73392,5.98269,0.00171601
4.49455,6.04201,0.00175149
4.20249,6.10318,0.00180182
3.90862,6.14952,0.00185401
3.615,6.19587,0.00191328
3.32094,6.2423,0.00197357
3.02689,6.28872,0.00203413
2.73283,6.33515,0.00209527
