x,y
0.129956,0,-0
0.323792,6.36138e-06,-0.00347454
0.517624,8.28521e-06,-0.000930095
0.711457,9.67063e-06,0.000128797
0.90529,9.90249e-06,0.000335999
1.09943,9.83093e-06,-0.0010822
1.29295,9.14783e-06,0.00138345
1.48646,8.41113e-06,0.00196825
1.67997,1.06874e-05,-0.000285226
1.87348,8.05855e-06,-0.00659123
2.06699,1.06701e-05,-0.00877962
2.26102,1.3384e-05,-0.0103684
2.45446,1.79126e-05,-0.0083606
2.6479,2.00134e-05,-0.00917274
2.84134,2.67825e-05,-0.0093706
3.03479,3.02228e-05,-0.00799908
3.22823,3.603e-05,-0.00899108
3.4178,0.0537913,-0.0122979
3.56603,0.142794,-0.00707933
3.69457,0.261162,-0.00456533
3.7983,0.40417,-0.00279829
3.87306,0.566117,-0.00947408
3.91589,0.740539,-0.0164028
3.92507,0.920479,-0.0228835
3.93676,1.12572,-0.0301066
3.95921,1.3291,-0.0317591
3.98167,1.53248,-0.0416247
4.00412,1.73586,-0.0491126
4.02657,1.93924,-0.0542074
4.04902,2.14262,-0.0597768
4.07147,2.34599,-0.063732
4.09392,2.54917,-0.0696646
4.11644,2.75298,-0.0779813
4.13897,2.95678,-0.081646
4.16149,3.16059,-0.0858558
4.18401,3.3644,-0.0859331
4.20654,3.56821,-0.0927593
4.22906,3.77202,-0.0965792
4.25158,3.97583,-0.0981947
4.2741,4.17964,-0.101386
4.29662,4.38341,-0.106272
4.31897,4.58657,-0.109957
4.34138,4.78981,-0.115029
4.36389,4.9939,-0.116685
4.3864,5.198,-0.124806
4.40891,5.40209,-0.135234
4.43141,5.60618,-0.136986
4.45392,5.81028,-0.142352
4.47643,6.01437,-0.145118
4.49893,6.21847,-0.13889
4.52144,6.42257,-0.142357
4.55809,6.62335,-0.144411
4.60189,6.63577,-0.141948
4.64715,6.63874,-0.137793
4.69206,6.63215,-0.152839
4.73484,6.61625,-0.150075
4.77378,6.59169,-0.150434
4.96558,6.6311,-0.127605
5.15151,6.68865,-0.11853
5.33744,6.74618,-0.121461
5.52338,6.8037,-0.127875
5.70931,6.86122,-0.136477
5.89514,6.91868,-0.133055
6.08085,6.97595,-0.131419
6.26654,7.03325,-0.144642
6.45224,7.09056,-0.154905
6.63794,7.14786,-0.153413
6.82363,7.20516,-0.152473
7.00933,7.26245,-0.150468
7.19502,7.31975,-0.150603
7.38074,7.37703,-0.172781
7.57691,7.37816,-0.17437
7.73237,7.33475,-0.219937
7.87657,7.25954,-0.289088
8.00372,7.15557,-0.292807
8.10877,7.02691,-0.261925
8.14724,6.92984,-0.250626
8.11438,6.90836,-0.261187
8.07813,6.89421,-0.262872
8.03994,6.88794,-0.27929
8.00134,6.88982,-0.299788
7.96387,6.89976,-0.314462
7.92903,6.91736,-0.329965
7.89819,6.94192,-0.352861
7.87261,6.97246,-0.36971
7.69906,6.87956,-0.302857
7.53387,6.77339,-0.311692
7.36856,6.66722,-0.360209
7.20322,6.56107,-0.401776
7.03813,6.45509,-0.449799
6.87288,6.34894,-0.47246
6.70763,6.24279,-0.513455
6.54238,6.13663,-0.54156
6.37713,6.03045,-0.590441
6.2119,5.92426,-0.638065
6.04692,5.81822,-0.692837
5.88147,5.71187,-0.742301
5.71603,5.60552,-0.799826
5.55058,5.49918,-0.864388
5.38513,5.39283,-0.921059
5.21969,5.28649,-0.977764
5.05424,5.18014,-1.03558
4.88879,5.0738,-1.087
4.72334,4.96745,-1.14409
4.55789,4.86111,-1.21061
4.39245,4.75478,-1.28415
4.22699,4.64845,-1.33266
4.06154,4.54211,-1.37699
3.89609,4.43577,-1.41317
3.7304,4.33026,-1.4629
3.56427,4.2257,-1.50579
3.39432,4.12843,-1.56082
3.23608,4.10185,-1.59307
3.076,4.10907,-1.62735
2.92046,4.14981,-1.661
2.73069,4.19182,-1.70873
2.53974,4.22366,-1.75823
2.34895,4.25549,-1.81443
2.15788,4.28737,-1.87161
1.96681,4.31926,-1.92903
1.77574,4.35115,-1.98702
