x,y
0,0,0
0.298311,9.26199e-06,3.66383e-06
0.596616,1.2063e-05,9.80766e-07
0.894922,1.40802e-05,-1.35814e-07
1.19323,1.44177e-05,-3.54304e-07
1.49201,1.43136e-05,1.14116e-06
1.78983,1.3319e-05,-1.45882e-06
2.08764,1.22464e-05,-2.07548e-06
2.38545,1.55606e-05,3.00765e-07
2.68326,1.1733e-05,6.95032e-06
2.98107,1.55353e-05,9.25793e-06
3.27968,1.94867e-05,1.09333e-05
3.57738,2.60802e-05,8.81608e-06
3.87508,2.91389e-05,9.67247e-06
4.17279,3.89946e-05,9.88111e-06
4.47049,4.40035e-05,8.43487e-06
4.7682,5.24586e-05,9.48091e-06
5.05994,0.0783186,1.29679e-05
5.28807,0.207904,7.46501e-06
5.4859,0.380245,4.81404e-06
5.64553,0.588461,2.95074e-06
5.76059,0.824251,9.99023e-06
5.8265,1.0782,1.72964e-05
5.84062,1.34019,2.41302e-05
5.85863,1.63901,3.17468e-05
5.89318,1.93514,3.34893e-05
5.92773,2.23125,4.38924e-05
5.96229,2.52736,5.17882e-05
5.99683,2.82347,5.71606e-05
6.03139,3.11959,6.30335e-05
6.06594,3.4157,6.72041e-05
6.10049,3.71152,7.346e-05
6.13515,4.00826,8.22296e-05
6.16981,4.305,8.60941e-05
6.20448,4.60173,9.05332e-05
6.23914,4.89847,9.06147e-05
6.2738,5.19521,9.78128e-05
6.30846,5.49195,0.000101841
6.34312,5.78869,0.000103544
6.37778,6.08543,0.000106909
6.41244,6.38213,0.000112062
6.44684,6.67792,0.000115948
6.48132,6.97383,0.000121296
6.51596,7.27098,0.000123042
6.55061,7.56814,0.000131605
6.58524,7.86529,0.000142601
6.61988,8.16245,0.000144448
6.65451,8.45961,0.000150108
6.68916,8.75676,0.000153024
6.72379,9.05392,0.000146456
6.75843,9.35108,0.000150112
6.81484,9.64342,0.000152279
6.88224,9.6615,0.000149682
6.95189,9.66582,0.0001453
7.02102,9.65622,0.000161166
7.08686,9.63308,0.000158251
7.14678,9.59732,0.000158629
7.44195,9.6547,0.000134557
7.7281,9.73848,0.000124987
8.01425,9.82225,0.000128078
8.3004,9.906,0.000134842
8.58655,9.98975,0.000143913
8.87254,10.0734,0.000140303
9.15834,10.1568,0.000138578
9.44412,10.2402,0.000152522
9.7299,10.3237,0.000163344
10.0157,10.4071,0.000161771
10.3015,10.4905,0.000160779
10.5873,10.5739,0.000158665
10.873,10.6574,0.000158808
11.1589,10.7408,0.000182194
11.4608,10.7424,0.00018387
11.7,10.6792,0.00023192
11.9219,10.5697,0.000304838
12.1176,10.4183,0.000308759
12.2793,10.231,0.000276195
12.3385,10.0896,0.000264281
12.2879,10.0584,0.000275417
12.2321,10.0378,0.000277194
12.1734,10.0286,0.000294506
12.114,10.0314,0.00031612
12.0563,10.0459,0.000331594
12.0027,10.0715,0.000347942
11.9552,10.1072,0.000372085
11.9158,10.1517,0.000389852
11.6487,10.0164,0.000319357
11.3945,9.86187,0.000328672
11.1401,9.70729,0.000379833
10.8857,9.55273,0.000423664
10.6316,9.39843,0.000474303
10.3773,9.24389,0.000498199
10.123,9.08933,0.000541428
9.86862,8.93476,0.000571064
9.61432,8.78017,0.000622608
9.36003,8.62555,0.000672827
9.10613,8.47116,0.000730583
8.85151,8.31633,0.000782742
8.59689,8.16148,0.0008434
8.34227,8.00665,0.000911479
8.08765,7.85181,0.000971238
7.83303,7.69697,0.00103103
7.5784,7.54214,0.00109199
7.32378,7.38731,0.00114622
7.06915,7.23247,0.00120642
6.81453,7.07764,0.00127657
6.55991,6.92283,0.0013541
6.30529,6.76801,0.00140527
6.05066,6.61319,0.00145201
5.79603,6.45835,0.00149016
5.54103,6.30474,0.0015426
5.28536,6.1525,0.00158783
5.02381,6.01087,0.00164585
4.78029,5.97218,0.00167986
4.53392,5.98269,0.00171601
4.29455,6.04201,0.00175149
4.00249,6.10318,0.00180182
3.70862,6.14952,0.00185401
3.415,6.19587,0.00191328
3.12094,6.2423,0.00197357
2.82689,6.28872,0.00203413
2.53283,6.33515,0.00209527
