x,y,z
0,0,0
0.200426,0,0
0.40085,0,0
0.601274,0,0
0.801698,0,0
1.00244,0,0
1.20254,0,0
1.40263,0,0
1.60272,0,0
1.80282,0,0
2.00291,0,0
2.20353,0,0
2.40355,0,0
2.60358,0,0
2.8036,0,0
3.00362,0,0
3.20364,0,0
3.40319,0.0151316,0.188353
3.56783,0.0638916,0.388423
3.71949,0.144398,0.58849
3.85213,0.253439,0.788559
3.96045,0.386664,0.988628
4.04013,0.538759,1.1887
4.08799,0.703654,1.38877
4.1131,0.902461,1.45456
4.13633,1.10141,1.45456
4.15956,1.30036,1.45456
4.18278,1.4993,1.45456
4.20601,1.69824,1.45456
4.22923,1.89719,1.45456
4.25246,2.09613,1.45456
4.27568,2.29488,1.45456
4.29899,2.49425,1.45456
4.32229,2.69361,1.45456
4.34559,2.89298,1.45456
4.36889,3.09234,1.45456
4.39219,3.29171,1.45456
4.41549,3.49107,1.45456
4.4388,3.69044,1.45456
4.4621,3.8898,1.45456
4.4854,4.08914,1.45456
4.50852,4.28787,1.45456
4.5317,4.48668,1.45456
4.55499,4.68632,1.45456
4.57828,4.88596,1.45456
4.60157,5.08561,1.45456
4.62486,5.28525,1.45456
4.64815,5.48489,1.45456
4.67144,5.68454,1.45456
4.69473,5.88418,1.45456
4.71802,6.08383,1.45456
4.74151,6.28245,1.38156
4.74851,6.30598,1.1815
4.76005,6.32766,0.981447
4.77566,6.3466,0.781385
4.79473,6.36207,0.581336
4.81648,6.37344,0.381282
5.00854,6.43025,0.284411
5.20087,6.48652,0.284411
5.3932,6.54278,0.284411
5.58554,6.59904,0.284411
5.77787,6.6553,0.284411
5.97009,6.71152,0.284411
6.16217,6.76757,0.284411
6.35426,6.82362,0.284411
6.54634,6.87967,0.284411
6.73843,6.93572,0.284411
6.93051,6.99177,0.284411
7.1226,7.04782,0.284411
7.31468,7.10387,0.284411
7.50677,7.15992,0.284411
7.70234,7.20029,0.0842425
7.86376,7.19775,-0.115926
8.02148,7.16316,-0.316094
8.16916,7.0979,-0.516262
8.30092,7.00458,-0.71643
8.36985,6.93692,-0.916431
8.36985,6.93692,-1.11652
8.36985,6.93692,-1.31661
8.36985,6.93692,-1.51669
8.36985,6.93692,-1.71678
8.36985,6.93692,-1.91687
8.36985,6.93692,-2.11695
8.36985,6.93692,-2.31704
8.36985,6.93692,-2.51713
8.19876,6.83278,-2.59504
8.02767,6.72863,-2.59504
7.85645,6.62449,-2.59504
7.68521,6.52035,-2.59504
7.51424,6.41637,-2.59504
7.3431,6.31224,-2.59504
7.17196,6.20812,-2.59504
7.00082,6.10399,-2.59504
6.82967,5.99986,-2.59504
6.65853,5.89574,-2.59504
6.48765,5.79177,-2.59504
6.31629,5.6875,-2.59504
6.14492,5.58323,-2.59504
5.97355,5.47896,-2.59504
5.80219,5.37468,-2.59504
5.63082,5.27041,-2.59504
5.45945,5.16614,-2.59504
5.28809,5.06187,-2.59504
5.11672,4.9576,-2.59504
4.94535,4.85333,-2.59504
4.77399,4.74906,-2.59504
4.60262,4.64478,-2.59504
4.43125,4.54051,-2.59504
4.25989,4.43624,-2.59504
4.08858,4.33227,-2.59797
3.91695,4.22902,-2.60207
3.74476,4.12695,-2.64053
3.59645,4.06403,-2.84072
3.43859,4.03186,-3.04092
3.27748,4.03172,3.04207
3.07943,4.06153,2.9854
2.88162,4.0926,2.9854
2.68397,4.12368,2.9854
2.48603,4.15481,2.9854
2.2881,4.18593,2.9854
2.09016,4.21706,2.9854
